,index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,statement_0,statement_1,statement_2,statement_3,statement_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
0,0,3376,13552,1174,4782,5060,1546632452.jpg#0r3e,3449846784.jpg#3r1n,4606522320.jpg#2r1c,4803984649.jpg#3r1c,4890932738.jpg#2r1e,The boy is moving up and down.,a dog is outdoors playing,The men are wearing blue caps,A man is chasing dogs.,A human being travels to its destination.,entailment,entailment,contradiction,contradiction,entailment,entailment,entailment,contradiction,contradiction,entailment,jumping on a trampoline implies moving up and down,a dog is playing with a ball in the air,red and blue are different colors,the man cannot be standing and chasing dogs simultaneously,a human being is a woman,bouncing almost the same as moving up and down,this is a dog playing outdoors,men are in red caps cannot be wearing blue caps,standing and chasing are different kind of actions,a person travels along hallway of stone archways,contradiction,contradiction,entailment,entailment,contradiction,neutral,neutral,neutral,neutral,neutral,1546632452.jpg%230r3e.jpg,3449846784.jpg%233r1n.jpg,4606522320.jpg%232r1c.jpg,4803984649.jpg%233r1c.jpg,4890932738.jpg%232r1e.jpg
1,5,3496,1824,6492,13634,13549,5489602545.jpg#3r1e,511749704.jpg#4r1e,410422753.jpg#4r5e,3731739486.jpg#4r1n,2852982055.jpg#3r1n,Someone is sweeping,The little boy is wearing red.,There is snow in the picture.,The people are going home from work.,They are a family,entailment,entailment,entailment,neutral,neutral,entailment,entailment,entailment,neutral,neutral,a woman is someone,a boy in a red shirt is wearing red,a dog is running through the snow so there must be snow in the picture,just because people are getting off a school bus does not mean they are going home from work,not all people are a family,a shopkeeper is someone,a little boy in red is the same thing as wearing red,if a dog is in the snow then there is snow,the people getting on the bus could be going home from work or going on a trip,the relationship of the people in the picture is unclear or if they are a family,contradiction,contradiction,contradiction,contradiction,contradiction,neutral,neutral,neutral,entailment,entailment,5489602545.jpg%233r1e.jpg,511749704.jpg%234r1e.jpg,410422753.jpg%234r5e.jpg,3731739486.jpg%234r1n.jpg,2852982055.jpg%233r1n.jpg
2,10,14560,1930,13690,11895,7871,72010346.jpg#1r1n,3461041826.jpg#0r1e,177591612.jpg#0r1n,7012109893.jpg#0r1n,3081330705.jpg#0r3e,The man and woman are swaying to their favorite song.,A white dog outside.,Two good-looking young guys are posing for a picture with a brand new football.,A man is not happy about having to clean the roof.,There is a man outdoors.,neutral,entailment,neutral,neutral,entailment,neutral,entailment,neutral,neutral,entailment,just because a man and woman are dancing doesn't mean they are swaying to their favorite song,a dog is outside in a stream,not all young men are good looking,not all men are not happy about having to clean the roof,"a man is standing on a mountain, so he is outdoors",the man and woman are swaying to music,a white dog splashing in an outdoor stream implies the dog is outside,"they look like they might be posing for a picture, but the football is seems like it could be out-of-reach for them and not be detrimental for their picture","there is a man cleaning the roof, but there is no way to tell whether or not he is happy as we cannot see his face",mountains are considered to be outdoors,contradiction,contradiction,contradiction,contradiction,contradiction,entailment,neutral,entailment,entailment,neutral,72010346.jpg%231r1n.jpg,3461041826.jpg%230r1e.jpg,177591612.jpg%230r1n.jpg,7012109893.jpg%230r1n.jpg,3081330705.jpg%230r3e.jpg
3,15,1123,675,5076,5029,7970,2313598755.jpg#2r1e,534570169.jpg#2r4c,125635185.jpg#0r3c,2577972703.jpg#1r1e,154653766.jpg#1r5e,The people are inside,A person in pajamas.,The children are playing a board game.,A girl is dirty.,Teenagers stand near a bank.,entailment,contradiction,contradiction,entailment,entailment,entailment,contradiction,contradiction,entailment,entailment,a man and a child are people,a person cannot be in a suit and pajamas at the same time,the children cannot be playing a board game and swinging on a barrel at the same time,a girl with a dirty face is dirty,teenagers are standing near a bank,people cuddling inside,a man is either in a tuxedo or pajamas,children cannot be playing outdoors and playing a board game at the same time,with dirt implies she is dirty,if they are outside a wells fargo bank then they have to be near the bank,contradiction,entailment,entailment,contradiction,contradiction,neutral,neutral,neutral,neutral,neutral,2313598755.jpg%232r1e.jpg,534570169.jpg%232r4c.jpg,125635185.jpg%230r3c.jpg,2577972703.jpg%231r1e.jpg,154653766.jpg%231r5e.jpg
4,20,7553,8648,8707,9245,13233,4549641134.jpg#4r1c,3351586010.jpg#0r1c,3240637051.jpg#1r1e,4828433053.jpg#0r3c,473323374.jpg#4r1n,The people are standing inside.,a skater sleeping on a couch ouside near the local gym,The musician is performing for people.,Nobody has shorts.,The child wants to be fed.,contradiction,contradiction,entailment,contradiction,neutral,contradiction,contradiction,entailment,contradiction,neutral,the people cannot be sitting and standing simultaneously,a skater cannot be sleeping and skating at the same time,a musician is a woman,"if nobody has shorts, then a person cannot be wearing shorts",crying does not imply the child wants to be fed,the people cannot be both seated and standing. the people cannot be both outdoors and inside,he is either in the local gym or skates over the pavement,the girl is performing by singing and playing drums,person is contradictory to nobody,it is not clear if the child wants to be fed,entailment,entailment,contradiction,entailment,contradiction,neutral,neutral,neutral,neutral,entailment,4549641134.jpg%234r1c.jpg,3351586010.jpg%230r1c.jpg,3240637051.jpg%231r1e.jpg,4828433053.jpg%230r3c.jpg,473323374.jpg%234r1n.jpg
5,25,5626,243,10928,7352,4296,2319389144.jpg#1r1c,6870444330.jpg#3r1e,5526795355.jpg#4r1n,3732728142.jpg#0r1c,2923086298.jpg#2r1e,The picture is taken on the national highway.,A man is standing.,A man is performing at a concert.,The baby is crying and not wearing any clothes.,The woman is cleaning.,contradiction,entailment,neutral,contradiction,entailment,contradiction,entailment,neutral,contradiction,entailment,the picture is either taken on the national highway or a street,a man standing is a man standing,playing a violin does not imply performing at a concert,the baby cannot be crying and not wearing any clothes at the same time,a woman is cleaning a kitchen,a street is not the same as a highway,"if a man is standing with a microphone, then the man is standing","we know he's performing , but we don't know it's at a concert","if one is wearing a beanie, they cannot be not wearing any clothes",vacuuming is a form of cleaning a floor,entailment,contradiction,contradiction,entailment,contradiction,neutral,neutral,entailment,neutral,neutral,2319389144.jpg%231r1c.jpg,6870444330.jpg%233r1e.jpg,5526795355.jpg%234r1n.jpg,3732728142.jpg%230r1c.jpg,2923086298.jpg%232r1e.jpg
6,30,5488,61,9857,7838,6442,2536957963.jpg#3r1c,5925544950.jpg#0r1c,3046312861.jpg#2r2n,7796487260.jpg#1r1e,2202059975.jpg#1r1c,Two men run through a field.,A boy is swimming in a lake.,A girl is getting ready for a tournament in gymnastics.,The women are dancing.,The people are sitting inside.,contradiction,contradiction,neutral,entailment,contradiction,contradiction,contradiction,neutral,entailment,contradiction,the men cannot be standing and running at the same time,a girl is not a boy,just because a girl is on a pole does not mean she is getting ready for a tournament,a young woman is a woman,the people cannot be sitting inside and walking on the sidewalk at the same time,stairs is contradictory to field,"a girl is not a boy, and fishing is not swimming",the girl is doing gymnastics but there's no way tell if she is getting ready for a tournament or not,women are beautiful,outside is inherently not inside,entailment,entailment,contradiction,contradiction,entailment,neutral,neutral,entailment,neutral,neutral,2536957963.jpg%233r1c.jpg,5925544950.jpg%230r1c.jpg,3046312861.jpg%232r2n.jpg,7796487260.jpg%231r1e.jpg,2202059975.jpg%231r1c.jpg
7,35,8403,10347,5631,12130,2760,281658181.jpg#1r1e,3403263046.jpg#3r1n,2327240505.jpg#1r1e,7498713846.jpg#3r1n,1580159719.jpg#0r1e,A female athlete is vaulting.,The woman just got drafted to the WNBA.,The girl and boy are playing.,The man is a Christian.,There is music being played.,entailment,neutral,entailment,neutral,entailment,entailment,neutral,entailment,neutral,entailment,a female athlete is a female athlete,just because a woman is playing basketball doesn't mean she just got drafted to the wnba,a girl and a boy are playing on a skateboard,not all men are christian,a group of young people are playing music in a park,"if he attempts a vault, he must be vaulting next",cant assure the woman just got drafted to the wnba,swings a toy shows that one is playing,one would assume that since the man is praying he is a christian but there is no way of telling what religion he represents,music is being played because a guitar and violin make music,contradiction,contradiction,contradiction,contradiction,contradiction,neutral,entailment,neutral,entailment,neutral,281658181.jpg%231r1e.jpg,3403263046.jpg%233r1n.jpg,2327240505.jpg%231r1e.jpg,7498713846.jpg%233r1n.jpg,1580159719.jpg%230r1e.jpg
8,40,202,11027,5781,13626,9471,4752721674.jpg#1r1e,3416339125.jpg#1r1n,1097710887.jpg#2r5e,116409198.jpg#4r1n,4333374998.jpg#0r1c,Cameras hidden behind a barricade.,A father and son are drinking beer together.,A young girl is making bubbles outside.,A man near a tent on a mountainside,A child is being held by his mother at the mall.,entailment,neutral,entailment,entailment,contradiction,entailment,neutral,entailment,entailment,contradiction,"if the cameras are behind a barricade, they are hidden behind a barricade",just because two men are sitting at a table with beer does not mean they are father and son,a young girl is making bubbles outside is a restatement of a young girl in a green dress blowing bubbles,a man is sitting in the snow near a tent on a mountainside,the child cannot be standing and being held at the same time,"cameras implies a ""group of cameras"".if the cameras are recording from behind the barricade then they would be hidden behind the barricade","two men are drinking beer together, but we do not know if they are father and son",a young girl is making bubble outside. is the same as a small girl blows bubbles,he is near a tent on a mountain,there are usually not screen doors at the mall,contradiction,contradiction,contradiction,contradiction,entailment,neutral,entailment,neutral,neutral,neutral,4752721674.jpg%231r1e.jpg,3416339125.jpg%231r1n.jpg,1097710887.jpg%232r5e.jpg,116409198.jpg%234r1n.jpg,4333374998.jpg%230r1c.jpg
9,45,9026,14493,5336,12432,1291,4005756399.jpg#4r1e,118939364.jpg#1r4n,4586247564.jpg#0r1e,582788646.jpg#3r4n,2382950929.jpg#1r1c,A man is selling items on the street.,The woman is wearing pants.,A woman is walking on the road.,The boy is on vacation with his family.,A boy helps a elderly woman cross the busy intersection.,entailment,neutral,entailment,neutral,contradiction,entailment,neutral,entailment,neutral,contradiction,a man selling items on the street is a man selling items on the street,not all women are wearing pants,a woman walking on a road is walking on a concrete walkway,just because the boy is at the beach doesn't mean he is on vacation,a boy is not a woman,the man continues selling various items on the street,"in the image, the woman is sewing a clothe. it is not possible indentify",a middle-aged woman is a woman and a breakwater in a european coastal town is a road,could be in vacation,the boy cannot help an elderly woman cross a busy road at the same time as he ties his shoe near a rock in front of water,contradiction,contradiction,contradiction,contradiction,entailment,neutral,entailment,neutral,entailment,neutral,4005756399.jpg%234r1e.jpg,118939364.jpg%231r4n.jpg,4586247564.jpg%230r1e.jpg,582788646.jpg%233r4n.jpg,2382950929.jpg%231r1c.jpg
10,50,6389,13249,12748,5080,2845,289639811.jpg#0r1c,6927848734.jpg#0r1n,3169276423.jpg#0r1n,125635185.jpg#2r5c,3640348910.jpg#1r1e,Men play hockey in a stadium.,The man is a cab driver just finishing his shift as darkness falls on London.,The people are blowing smoke out of their mouths.,Two children are sleeping.,The skateboarder is on a ramp near a painting.,contradiction,neutral,contradiction,contradiction,entailment,contradiction,neutral,contradiction,contradiction,entailment,soccer and hockey are different sports,just because a man is driving a car does not mean he is a cab driver. just because a man is driving a car does not mean it is london,people cannot be blowing smoke out of their mouths and wearing fake moustaches at the same time,the children cannot be sleeping and playing on a swing at the same time,a skateboarder is a skateboarder,the men are either playing soccer or they play hockey,"it is not possible to know if the man is a taxi driver and, much less, if his shift has just finished",there is no blowing smoke,two children cannot be sleeping and playing simultaneously,when a skateboarder is on a ramp that means he/she is riding the ramp,entailment,contradiction,entailment,entailment,contradiction,neutral,entailment,neutral,neutral,neutral,289639811.jpg%230r1c.jpg,6927848734.jpg%230r1n.jpg,3169276423.jpg%230r1n.jpg,125635185.jpg%232r5c.jpg,3640348910.jpg%231r1e.jpg
11,55,2810,6523,10951,3778,6420,393043864.jpg#1r1e,3449114979.jpg#3r1e,6156276992.jpg#4r1n,5631556013.jpg#0r1c,2618322793.jpg#4r3c,There is a selection of produce for sale.,The children are learning.,A short man using camera outside.,a boy can't swim,The boy is riding his bike down the street.,entailment,entailment,neutral,contradiction,contradiction,entailment,entailment,neutral,contradiction,contradiction,vegetables are produce,the children are learning because they are sitting at desks with chalkboards,not all men are short,a boy can't swim if he is jumping into water,the boy cannot be riding his bike and swinging on a swing at the same time,fruits and vegetables are types of produce. a wide variety indicates a selection to choose form,the children learning are holding slates in classroom,there is no way to know whether the man is short or not,a boy wouldn’t hold his nose and jump in water if he can’t swim,a boy riding his bike cannot also swing in the air,contradiction,contradiction,contradiction,entailment,entailment,neutral,neutral,entailment,neutral,neutral,393043864.jpg%231r1e.jpg,3449114979.jpg%233r1e.jpg,6156276992.jpg%234r1n.jpg,5631556013.jpg%230r1c.jpg,2618322793.jpg%234r3c.jpg
12,60,13605,5509,9296,4545,5451,2735558076.jpg#0r1n,21514026.jpg#1r1c,2313551145.jpg#1r1e,2641098920.jpg#2r1c,3125628091.jpg#3r1e,A young boy sits on the ground in a family picture.,The man is just waking up from sleeping.,There is a Coca-Cola sign on a building.,Two women rest on a bench next to an apple tree.,Someone is smiling.,neutral,contradiction,entailment,contradiction,entailment,neutral,contradiction,entailment,contradiction,entailment,just because a young boy sits on the ground in front of a group of people does not mean he is in a family picture,a man cannot be waking up from sleeping and standing at the same time,a sign on a building is a sign on a building,the women cannot be sitting on a couch and a bench at the same time,a child is someone,yes there is a young boy clearly sitting on the ground. no evidence of any family members or family photo,you cannot be ready to sit down if you are just waking up,the coca-cola sign is on the building,sofa is different to a bench,a smiling child fits the category of someone performing the action of smiling,contradiction,entailment,contradiction,entailment,contradiction,entailment,neutral,neutral,neutral,neutral,2735558076.jpg%230r1n.jpg,21514026.jpg%231r1c.jpg,2313551145.jpg%231r1e.jpg,2641098920.jpg%232r1c.jpg,3125628091.jpg%233r1e.jpg
13,65,12012,7451,9608,4227,8741,1286805224.jpg#1r1n,4677535056.jpg#1r1e,637245791.jpg#3r1n,45334151.jpg#1r1e,4614358086.jpg#2r1c,A woman is smiling to the cute dog she saw outside.,a man stands next to a taxi,A child is playing.,A woman reads a book.,A policeman is driving away from the site of a protest.,neutral,entailment,entailment,entailment,contradiction,neutral,entailment,entailment,entailment,contradiction,a woman smiling outside does not imply she is smiling to the cute dog she saw outside,a man stands next to a taxi is the same as a man stands next to a taxi,a child is playing with a toy,a woman reading a book is the same as a woman reads a book,a policeman cannot be standing and driving at the same time,the woman is smiling but there is no evidence that a dog is the reason,the man next to the taxi is standing,the child is playing with a green toy,"a woman in a colorful shirt reads a book, so a woman reads a book",either the policeman watches protesters or is driving away from the protest. he cannot do both simultaneously,contradiction,contradiction,contradiction,contradiction,entailment,entailment,neutral,neutral,neutral,neutral,1286805224.jpg%231r1n.jpg,4677535056.jpg%231r1e.jpg,637245791.jpg%233r1n.jpg,45334151.jpg%231r1e.jpg,4614358086.jpg%232r1c.jpg
14,70,826,10143,12380,3207,6326,230486268.jpg#0r1e,3553056438.jpg#2r1n,135444196.jpg#0r2n,7784556300.jpg#0r1c,19469520.jpg#4r1c,a boy holds a shovel,The kids are siblings,An African American in a red top and white and brown skirt walks in front of a man in a blue shirt.,They are jogging.,The cyclists are all sitting in canoes.,entailment,neutral,neutral,contradiction,contradiction,entailment,neutral,neutral,contradiction,contradiction,a boy is a young boy,not all kids are siblings,not all african american women are african american,the people can't be jogging and riding a bike at the same time,cyclists cannot be standing and sitting at the same time,both boys hold a plastic shovel,the two kids may not be siblings. they could be friends,"the long maxi cotton skirts and wraparounds with the traditional prints, floral prints, multicoloured skirts are usually worn with blue, white or black plain tank tops",there are no jogging in a bicycle race,"if cyclists are sitting in canoes, they do not await the start of a race",contradiction,contradiction,contradiction,entailment,entailment,neutral,entailment,entailment,neutral,neutral,230486268.jpg%230r1e.jpg,3553056438.jpg%232r1n.jpg,135444196.jpg%230r2n.jpg,7784556300.jpg%230r1c.jpg,19469520.jpg%234r1c.jpg
15,75,6253,6650,14421,12430,11300,506082695.jpg#2r1c,316298162.jpg#3r1c,6084817815.jpg#3r1e,3415178926.jpg#4r1n,3189464563.jpg#0r3n,Three bears eat lettuce in the woods.,A group of businessman ate on the road,People in bright colours dance wildly.,The man tried to get the dog to play catch.,A woman with big earrings is happily holding up her prize ticket.,contradiction,contradiction,entailment,neutral,neutral,contradiction,contradiction,entailment,neutral,neutral,there can either be two or three bears,the group of businessmen cannot be walking down a tree lined road and eating on the road at the same time,people in bright colours dance wildly is a restatement of people in bright colours dancing,just because a man is playing with a dog doesn't mean he tried to get the dog to play catch,not all woman with big earrings is happily holding up her prize ticket,two women aren't three bears,"if businessmen ate on the road, they are sitting, not walking",they are dancing in a parade in bright color outfits,the man is trying to get a stick away from the dog. it is unknown whether or not he is playing catch,we cant assure that a woman with big earrings is happily holding up her prize ticket,entailment,entailment,contradiction,contradiction,contradiction,neutral,neutral,neutral,entailment,entailment,506082695.jpg%232r1c.jpg,316298162.jpg%233r1c.jpg,6084817815.jpg%233r1e.jpg,3415178926.jpg%234r1n.jpg,3189464563.jpg%230r3n.jpg
16,80,11470,10841,10030,11691,8941,3081330705.jpg#0r1n,4917931600.jpg#3r1n,4925573161.jpg#1r3n,5623287052.jpg#3r1n,618771382.jpg#4r1e,The man is currently in Alaska.,The man in goggles just crashed a plane.,A man rides a bike in a cycling contest.,"A man is shopping for his favorite cereal, Cap n Crunch.",Two girls are standing on front of a flag.,neutral,contradiction,neutral,neutral,entailment,neutral,contradiction,neutral,neutral,entailment,not all mountains are in alaska,a man cannot be in goggles and wearing a hat and gloves while also in goggles and wearing a hat and gloves,just because a man is riding a bike does not mean he is in a cycling contest,not all cereal is cap n crunch,two girls are standing in front of an american flag,we cant assure that the man is currently in alaska,nothing in the photo indicates a crashed plane,there is no evidence of a contest,"a man is shopping in the cereal aisle, but we don't know what he's looking for or that cap n crunch is his favorite",two girls in front of a flag is the same as two girls in front of a flag,contradiction,entailment,contradiction,contradiction,contradiction,entailment,neutral,entailment,entailment,neutral,3081330705.jpg%230r1n.jpg,4917931600.jpg%233r1n.jpg,4925573161.jpg%231r3n.jpg,5623287052.jpg%233r1n.jpg,618771382.jpg%234r1e.jpg
17,85,4334,13821,6877,7431,2410,390369.jpg#0r1c,7003919692.jpg#0r2n,4062259729.jpg#3r1c,4759710534.jpg#2r1c,160541986.jpg#3r1e,A man dressed as the Statue of Liberty is in a jail cell for inciting a riot.,Black people traverse down a street in search of a store to shop at.,Man playing drums,The woman is jogging.,She is wearing jewelry.,contradiction,neutral,contradiction,contradiction,entailment,contradiction,neutral,contradiction,contradiction,entailment,a man dressed as the statue of liberty is not a street performer,just because people are walking down a street doesn't mean they are in search of a store to shop at,a man cannot be playing drums and leaning over a sailboat at the same time,the woman cannot be jogging and standing at the same time,a pearl necklace is a type of jewelry,the man is either in jail or in the middle o the street,"though there are black people traversing down a street, it is not clear whether they are in search of a store",the man can not be playing drums if he is steering a boat,"if the woman is jogging, she is most likely not carrying a purse since it would just disturb her while jogging","when a girl is decked out with jewelry, she is wearing the jewelry",entailment,contradiction,entailment,entailment,contradiction,neutral,entailment,neutral,neutral,neutral,390369.jpg%230r1c.jpg,7003919692.jpg%230r2n.jpg,4062259729.jpg%233r1c.jpg,4759710534.jpg%232r1c.jpg,160541986.jpg%233r1e.jpg
18,90,13691,1197,3831,1540,5114,7252718418.jpg#0r1n,393043864.jpg#0r1e,7711598144.jpg#2r1e,415604639.jpg#1r1e,7117115809.jpg#2r1c,girl going to him home run,A basket of produce sit outside.,A woman is competing.,A man and a woman exit and enter a kitchen.,A woman is cooking.,neutral,entailment,entailment,entailment,contradiction,neutral,entailment,entailment,entailment,contradiction,a girl swinging a bat at a ball does not imply going to him home run,a basket of produce is a type of produce,a woman is competing in a competition,a man and a woman exiting a kitchen are entering a kitchen,painting and cooking are different activities,girl is not guaranteed to get a home run,an open air market means that it is outside,"if she performs in a martial arts competition, then she is competing",if the people are exiting and entering thne they exit and enter,one woman is painting while the other is cooking,contradiction,contradiction,contradiction,contradiction,entailment,entailment,neutral,neutral,neutral,neutral,7252718418.jpg%230r1n.jpg,393043864.jpg%230r1e.jpg,7711598144.jpg%232r1e.jpg,415604639.jpg%231r1e.jpg,7117115809.jpg%232r1c.jpg
19,95,7854,904,4401,12464,7621,2678171436.jpg#3r1c,4549641134.jpg#3r1c,2256447557.jpg#2r1e,39024981.jpg#0r1n,69830857.jpg#1r1c,The man is working on top of a bridge.,A woman stands by herself outside.,More than one woman are chatting.,Two happy women wearing pink T-shirts and blue jeans converse outside clothing store.,There is a person walking next to a large snowbank.,contradiction,contradiction,entailment,neutral,contradiction,contradiction,contradiction,entailment,neutral,contradiction,digging is not working,a woman cannot be sitting and standing at the same time,three women are more than one woman,not all women are happy,a person cannot be walking on a road and a snowbank at the same time,the man cannot be on top of the bridge if he is also underneath it,a crowd is many more people than just a woman,if women are chatting then more than one woman are chatting,two women are standing outside a clothing store and talking however they are smoking as well and the emotion is of being happy is hard to see,there is no snowbank in the desert,entailment,entailment,contradiction,contradiction,entailment,neutral,neutral,neutral,entailment,neutral,2678171436.jpg%233r1c.jpg,4549641134.jpg%233r1c.jpg,2256447557.jpg%232r1e.jpg,39024981.jpg%230r1n.jpg,69830857.jpg%231r1c.jpg
